	GM1	PN1	GM2	A1	A1	GM2	GM3	PN1	GM1	PN1	GM1	GM2	GM2	PN1	PN1	GM1	GM2	GM1	GM3	
208	1	2	 	 	 	 	7	8	 	 	 	12	 	 	15	 	 	 	19	
209	1	2	 	 	 	 	7	8	 	 	 	12	 	 	15	 	 	 	19	
210	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
211	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
212	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
213	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
214	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
215	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
216	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
217	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
218	1	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
219	 	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
220	 	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
221	 	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
222	 	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
223	 	2	 	4	 	 	 	8	 	 	 	12	 	 	15	 	17	 	19	
224	 	2	 	4	 	 	7	8	 	 	 	12	 	 	15	 	17	 	19	
225	 	 	 	4	 	6	7	8	 	 	 	 	13	 	15	 	17	 	19	
226	 	 	 	4	 	6	7	8	 	 	 	 	13	 	15	 	17	 	19	
227	 	 	 	4	 	6	7	8	 	 	 	 	13	 	15	 	17	 	19	
228	 	 	 	4	 	6	7	8	 	 	 	 	13	 	15	 	17	 	19	
229	 	 	 	4	 	6	7	8	 	 	 	 	13	 	15	 	17	 	19	
230	 	 	 	4	 	6	7	8	 	 	 	 	13	 	15	 	17	 	 	
231	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
232	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
233	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
234	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
235	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
236	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
237	 	 	3	4	 	6	7	 	 	 	 	 	13	 	15	16	17	 	19	
238	1	 	3	4	 	6	 	 	 	 	 	 	13	 	15	16	17	 	19	
239	1	 	3	4	 	6	 	 	 	 	 	 	13	 	15	16	17	 	19	
240	1	 	3	 	 	6	7	 	 	 	 	 	13	 	15	16	 	 	19	
241	1	 	3	 	 	6	7	 	 	 	 	 	13	 	15	16	 	 	19	
242	1	 	3	 	 	6	7	 	 	 	 	 	13	 	15	16	 	 	19	
243	1	 	3	 	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
244	1	 	3	 	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
245	1	 	3	 	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
246	1	 	3	 	 	6	 	8	 	 	 	 	13	 	 	16	 	 	19	
247	1	 	3	 	 	6	 	8	 	 	 	 	13	 	 	16	 	 	19	
248	1	 	3	 	 	6	 	8	 	 	 	 	13	 	 	16	 	 	19	
249	1	 	3	 	 	6	 	8	 	 	 	 	13	 	 	16	 	 	19	
250	1	 	3	 	 	6	 	8	 	 	 	 	13	 	 	16	 	 	19	
251	1	 	3	 	 	6	 	8	 	 	 	 	13	 	 	16	 	 	19	
252	1	 	 	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
253	1	 	3	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
254	1	 	3	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
255	1	 	3	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
256	1	 	3	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
257	1	 	3	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
258	1	 	3	4	 	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
259	 	 	3	4	5	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
260	 	 	3	4	5	6	7	8	 	 	 	 	13	 	 	16	 	 	19	
261	1	 	3	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
262	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
263	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
264	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
265	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
266	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
267	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
268	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
269	1	 	 	4	5	6	7	 	 	 	 	12	13	 	 	 	 	 	19	
270	 	 	 	4	5	 	7	 	9	 	 	12	 	 	 	16	 	 	19	
271	 	 	 	4	5	 	7	 	9	 	 	12	 	 	 	16	 	 	19	
272	 	 	 	4	5	 	7	 	9	 	 	12	 	 	 	16	 	 	19	
273	 	 	3	4	5	 	 	 	9	 	 	12	 	 	 	16	 	18	19	
274	 	 	3	4	5	 	 	 	9	 	 	12	 	 	 	16	 	18	19	
275	 	 	3	4	5	 	7	 	9	 	 	12	 	 	 	16	 	18	19	
276	 	 	3	4	5	 	7	 	9	 	 	12	 	 	 	16	 	18	19	
277	 	 	3	4	5	 	7	 	9	 	 	12	 	 	 	16	 	18	19	
278	 	 	3	4	5	 	7	 	9	 	 	12	 	 	 	16	 	18	19	
279	 	 	3	4	5	6	7	 	9	 	 	 	 	 	 	16	 	18	19	
280	 	 	3	4	5	6	7	 	9	 	 	 	 	 	 	16	 	18	19	
281	 	 	3	4	5	6	7	 	9	 	 	 	 	 	 	16	 	18	19	
282	 	 	3	 	5	6	7	 	9	 	 	 	 	 	 	16	 	18	19	
283	 	 	3	 	5	6	7	 	9	 	 	 	 	 	 	16	 	18	19	
284	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
285	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
286	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
287	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
288	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
289	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
290	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
291	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
292	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
293	 	 	3	 	5	6	 	 	9	 	 	 	 	 	 	16	 	18	19	
294	 	 	3	 	5	6	 	 	9	 	11	12	 	 	 	16	 	18	19	
295	 	 	3	 	5	6	 	 	9	 	11	12	 	 	 	16	 	18	19	
296	 	 	3	 	5	6	 	 	9	 	11	12	 	 	 	16	 	18	19	
297	 	 	3	 	5	 	 	 	9	 	11	12	13	 	 	16	 	18	19	
298	 	 	3	 	5	 	 	 	9	 	11	12	13	 	 	16	 	18	19	
299	 	 	3	 	5	 	 	 	9	 	11	12	13	 	 	16	 	18	19	
300	 	 	3	 	5	 	 	 	9	 	11	12	13	 	 	16	 	18	19	
301	 	 	3	 	 	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
302	 	 	3	 	 	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
303	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	 	
304	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	 	
305	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
306	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
307	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
308	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
309	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
310	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
311	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
312	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
313	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
314	 	 	 	 	5	 	7	 	9	 	11	12	13	 	 	16	 	18	19	
